DATA_CREDITO;ANO_MES_REPASSE;DATA_REPASSE;NOME_MUNICIPIO;DEDUCAO_FUNDEB_ICMS;VALOR_BRUTO_ICMS;VALOR_CREDITADO_ICMS;DEDUCAO_FUNDEB_IPI;VALOR_BRUTO_IPI;VALOR_CREDITADO_IPI;DEDUCAO_FUNDEB_IPVA;VALOR_BRUTO_IPVA;VALOR_CREDITADO_IPVA
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;GUARINOS;2498.98;10215.58;7716.6;0.0;0.0;0.0;1140.24;1871.14;730.9
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;HEITORAI;3094.59;12792.460000000001;9697.87;0.0;0.0;0.0;412.58;3767.1800000000003;3354.6
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;HIDROLANDIA;15311.87;61708.85;46396.98;0.0;0.0;0.0;60931.72;194580.96;133649.24
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;HIDROLINA;3308.14;13850.56;10542.42;0.0;0.0;0.0;2623.7400000000002;8101.24;5477.5
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;IACIARA;4318.31;17738.18;13419.87;0.0;0.0;0.0;3566.7400000000002;14937.12;11370.380000000001
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;INACIOLANDIA;5092.7300000000005;20391.65;15298.92;0.0;0.0;0.0;1178.18;10974.24;9796.06
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;INDIARA;10384.58;41873.72;31489.14;0.0;0.0;0.0;9626.16;27489.0;17862.84
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;INHUMAS;12231.15;50102.270000000004;37871.12;0.0;0.0;0.0;58383.0;164768.9;106385.90000000001
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;IPAMERI;24411.24;93153.64;68742.4;0.0;0.0;0.0;15134.44;78365.38;63230.94
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"IPIRANGA DE GOIAS";2895.76;12088.15;9192.39;0.0;0.0;0.0;2251.7400000000002;2378.52;126.78
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;IPORA;7386.03;30198.05;22812.02;0.0;0.0;0.0;29946.440000000002;118719.84;88773.40000000001
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;ISRAELANDIA;2971.64;12260.42;9288.78;0.0;0.0;0.0;1380.92;2323.2200000000003;942.3000000000001
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;ITABERAI;20447.19;79501.78;59054.590000000004;0.0;0.0;0.0;32115.18;151855.32;119740.14
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;ITAGUARI;2948.91;12106.050000000001;9157.14;0.0;0.0;0.0;391.90000000000003;945.38;553.48
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;ITAGUARU;3177.37;13277.36;10099.99;0.0;0.0;0.0;1719.3600000000001;6590.88;4871.52
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;ITAJA;4056.2400000000002;16330.16;12273.92;0.0;0.0;0.0;2324.86;12636.14;10311.28
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;ITAPACI;7496.8;29485.98;21989.18;0.0;0.0;0.0;9642.22;40341.06;30698.84
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;ITAPIRAPUA;5258.8;21052.63;15793.83;0.0;0.0;0.0;1880.14;35550.12;33669.98
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;ITAPURANGA;6344.2;25765.65;19421.45;0.0;0.0;0.0;15557.76;36626.76;21069.0
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;ITARUMA;5926.56;22979.52;17052.96;0.0;0.0;0.0;3996.84;8765.02;4768.18
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;ITAUCU;6166.9800000000005;24902.9;18735.920000000002;0.0;0.0;0.0;3425.78;9777.14;6351.360000000001
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;ITUMBIARA;49551.94;194400.18;144848.24;0.0;0.0;0.0;127523.28;406089.98;278566.7
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;IVOLANDIA;4169.64;16828.36;12658.720000000001;0.0;0.0;0.0;1642.3600000000001;5311.54;3669.1800000000003
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;JANDAIA;7365.77;28874.27;21508.5;0.0;0.0;0.0;1911.3600000000001;12118.58;10207.22
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;JARAGUA;8871.86;36692.79;27820.93;0.0;0.0;0.0;25900.32;67107.34;41207.020000000004
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;JATAI;79206.34;304889.5;225683.16;0.0;0.0;0.0;151926.02;519566.8;367640.78
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;JAUPACI;2519.87;10651.09;8131.22;0.0;0.0;0.0;383.24;383.24;0.0
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;JESUPOLIS;2681.3;11182.9;8501.6;0.0;0.0;0.0;112.32000000000001;112.32000000000001;0.0
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;JOVIANIA;6104.05;24990.48;18886.43;0.0;0.0;0.0;19548.48;71272.36;51723.880000000005
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;JUSSARA;9500.130000000001;37052.87;27552.74;0.0;0.0;0.0;13094.9;64270.66;51175.76
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"LAGOA SANTA";3004.92;12489.81;9484.89;0.0;0.0;0.0;920.52;3835.48;2914.96
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"LEOPOLDO DE BULHOES";6622.89;26632.850000000002;20009.96;0.0;0.0;0.0;5918.34;9150.26;3231.92
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;LUZIANIA;46410.78;186933.88;140523.1;0.0;0.0;0.0;61393.06;209533.98;148140.92
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;MAIRIPOTABA;3729.88;15532.61;11802.73;0.0;0.0;0.0;725.0600000000001;2701.34;1976.28
